"","X","w1.date","treat","sex","age","educ","cauc","hisp","black","midEast","pacIsl","natAm","SAsian","EAsian","SEAsian","party","pDem","state","passCheck","videoContent","w1.totalQuestionnaireMin","w1.finishedQuestionnaire","onTaskMin","offTaskMin","w2.date","w2.totalQuestionnaireMin","w2.finishedQuestionnaire","leafyVeg_Freq","leafyVeg_Ounces","otherVeg_Freq","otherVeg_Ounces","fruit_Freq","fruit_Ounces","wholeGrain_Freq","wholeGrain_Ounces","legumes_Freq","legumes_Ounces","chicken_Freq","chicken_Ounces","turkey_Freq","turkey_Ounces","fish_Freq","fish_Ounces","pork_Freq","pork_Ounces","beef_Freq","beef_Ounces","otherMeat_Freq","otherMeat_Ounces","dairy_Freq","dairy_Ounces","eggs_Freq","eggs_Ounces","refined_Freq","refined_Ounces","beverages_Freq","beverages_Ounces","guessPurpose","guessPurpose2","covid","importHealth","importEnviro","importAnimals","X1_spec","X2_spec","X3_spec","X4_spec","X5_spec","X6_spec","X1_activ","X2_activ","X3_activ","X4_activ","X5_activ","X1_dom","X2_dom","X3_dom","X4_dom","X5_dom","X6_dom","X7_dom","X8_dom","ID","chicken","turkey","fish","pork","beef","otherMeat","dairy","eggs","refined","beverages","leafyVeg","otherVeg","fruit","wholeGrain","legumes","totalMeat","totalAnimProd","mainY","mainYFreqOnly","totalGood","spec","activ","dom","aware","female","young","party2","pDem2","collegeGrad","fuDays","numFoodFreqMissing","treat.pretty"
"334",334,2020-08-26,1,"a.Female",20,"b.HS",0,0,0,0,0,0,0,1,0,"Democrat",0.472060265911072,"Texas",FALSE,"Most Americans get less than the recommended amount of exercise.,The ways we raise animals for human consumption causes the animals to suffer.,It is important to teach children good habits in terms of exercise.,Exercising for even 10 minutes a day can improve health.",1893,TRUE,0.180016666666667,30.1274666666667,2020-09-07,833,TRUE,3.5,3.5,2,2,1,2,0,0,3.5,2,3.5,3.5,0,0,1,2,1,2,2,3.5,2,2,5.5,2,3.5,2,3.5,3.5,1,3.5,"a.totalCal","a.generalPatterns","d.noChange",2,3,2,2,1,1,1,-6,5,1,1,5,2,2,1,1,-7,-7,1,1,-7,-7,"5ec82c3f67c66a10c498ecf6",12.25,0,2,2,7,4,11,7,12.25,3.5,12.25,4,2,0,7,27.25,18,45.25,18.5,25.25,-0.960657430191702,-1.35488219124504,-1.20042771382214,FALSE,1,TRUE,"c.Democrat",4.72060265911072,FALSE,12,0,"Documentary"
"335",335,2020-08-26,1,"b.Male",21,"b.HS",1,0,0,0,0,0,0,0,0,"Other/I don't know",0.429708627126445,"Florida",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1397,TRUE,0.0525166666666667,21.2128166666667,2020-09-07,442,TRUE,1,3.5,2,3.5,2,3.5,7,3.5,0,0,7,3.5,0,0,0,0,2,5,2,5,0,0,14,5,7,3.5,0,0,0,0,"b.protein","b.increase","d.noChange",3,3,4,1,1,2,1,-5,3,5,5,7,7,6,3,1,-6,-6,3,1,-7,-7,"5ec9b6934e028f4cdcb2a126",24.5,0,0,10,10,0,70,24.5,0,0,3.5,7,7,24.5,0,44.5,94.5,139,32,42,-1.09701187255818,1.29843890369452,-0.615085359807775,FALSE,0,TRUE,"b.Neutral",4.29708627126445,FALSE,12,0,"Documentary"
"336",336,2020-08-26,0,"b.Male",20,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.602403871950892,"Florida",FALSE,"Exercising for even 10 minutes a day can improve health.",2290,TRUE,3.08356666666667,17.5617833333333,2020-09-07,510,TRUE,7,2,7,2,5.5,5,2,3.5,1,5,2,5,0,0,0,0,3.5,5,2,5,0,0,5.5,5,1,3.5,3.5,3.5,2,5,"d.vegetables","b.increase","c.slightlyLess",4,2,2,6,2,2,5,-5,1,5,5,6,6,5,2,2,-6,-5,7,2,-6,-5,"5ecbc94783cd0a3963a39de7",10,0,0,17.5,10,0,27.5,3.5,12.25,10,14,14,27.5,7,5,37.5,31,68.5,14,67.5,-0.00617633362635618,0.879493467651434,0.262928171213768,FALSE,0,TRUE,"c.Democrat",6.02403871950892,FALSE,12,0,"Control"
"337",337,2020-08-26,1,"b.Male",20,"b.HS",1,0,0,0,0,0,0,0,0,"Republican",0.400500027323898,"Illinois",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1374,TRUE,2.5182,18.49245,2020-09-07,966,TRUE,5.5,3.5,3.5,3.5,7,5,1,2,2,2,3.5,3.5,1,3.5,3.5,3.5,3.5,3.5,1,2,3.5,3.5,2,3.5,0,0,14,5,0,0,"g.meatAnimProd","a.generalPatterns","d.noChange",4,3,4,3,6,4,5,-4,5,5,6,5,6,2,5,5,-7,-4,7,5,-4,-4,"5ecbf807f052ac7b16815dbc",12.25,3.5,12.25,12.25,2,12.25,7,0,70,0,19.25,12.25,35,2,4,54.5,7,61.5,18,72.5,1.08465920530547,0.460548031608344,1.43361287924249,FALSE,0,TRUE,"a.Republican",4.00500027323898,FALSE,12,0,"Documentary"
"338",338,2020-08-26,1,"c.Other",21,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.591272010532718,"Indiana",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1354,TRUE,0.24385,21.0723333333333,2020-09-07,347,TRUE,3.5,3.5,2,3.5,7,3.5,7,2,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,"a.totalCal","d.dontKnow","c.slightlyLess",4,4,3,2,2,1,1,-6,2,4,3,6,4,4,1,1,-7,-7,1,1,-7,-7,"5ecc5b5205a2fc4612a358e6",0,0,0,0,0,0,0,0,4,0,12.25,7,24.5,14,7,0,0,0,0,64.75,-1.23336631492466,0.0416025955652547,-1.20042771382214,FALSE,NA,TRUE,"c.Democrat",5.91272010532718,FALSE,12,0,"Documentary"
"339",339,2020-08-26,0,"b.Male",35,"e.post",1,0,0,0,0,0,0,0,0,"Democrat",0.490473600636774,"California",FALSE,"Most Americans get less than the recommended amount of exercise.",1413,TRUE,11.8195833333333,9.14363333333333,2020-09-07,464,TRUE,5.5,2,7,2,5.5,3.5,14,3.5,3.5,2,2,3.5,0,0,0,0,1,2,2,3.5,0,0,14,3.5,2,2,3.5,2,0,0,"b.protein","a.generalPatterns","b.somewhatLess",4,5,2,5,1,4,4,-5,5,3,3,6,6,3,3,2,-5,-5,6,4,-6,-7,"5ecea7b4f50eea0ef5a8cdc0",7,0,0,2,7,0,49,4,7,0,11,14,19.25,49,7,16,53,69,21,100.25,0.402886993473078,0.0416025955652547,0.360485230216162,FALSE,0,FALSE,"c.Democrat",4.90473600636774,TRUE,12,0,"Control"
"340",340,2020-08-26,1,"b.Male",19,"b.HS",1,0,0,0,0,0,0,0,0,"Other/I don't know",0.699132241158159,"California",FALSE,"It is important to teach children good habits in terms of exercise.",1697,TRUE,0.0876,26.4667166666667,2020-09-07,229,TRUE,3.5,2,3.5,3.5,7,3.5,7,3.5,0,0,3.5,5,2,5,1,5,2,5,1,5,2,5,7,3.5,1,3.5,0,0,7,5,"j.dontKnow","","d.noChange",3,3,3,5,2,2,2,-4,1,4,3,4,5,5,4,5,-3,-5,4,4,-4,-5,"5ececb180ce9a12d14704ef5",17.5,10,5,10,5,10,24.5,3.5,0,35,7,12.25,24.5,24.5,0,57.5,28,85.5,19.5,68.25,-0.41523966072579,0.0416025955652547,1.14094170223531,FALSE,0,TRUE,"b.Neutral",6.99132241158159,FALSE,12,0,"Documentary"
"341",341,2020-08-26,0,"a.Female",18,"b.HS",0,1,0,0,0,0,0,0,1,"Democrat",0.532544244992803,"California",FALSE,"It is important to teach children good habits in terms of exercise.,Exercising for even 10 minutes a day can improve health.",1322,TRUE,0.216983333333333,20.6272666666667,2020-09-09,344,TRUE,3.5,3.5,5.5,5,7,5,5.5,5,0,0,3.5,5,0,0,0,0,0,0,2,3.5,0,0,14,5,1,3.5,2,3.5,3.5,5,"b.protein","a.generalPatterns","d.noChange",2,3,4,5,1,2,5,-6,3,5,3,6,2,4,1,1,-7,-7,1,1,-7,-7,"5ed0f56775d2930009f54d97",17.5,0,0,0,7,0,70,3.5,7,17.5,12.25,27.5,35,27.5,0,24.5,73.5,98,20.5,102.25,-0.142530775992834,-0.0980458831157753,-1.20042771382214,FALSE,1,TRUE,"c.Democrat",5.32544244992803,FALSE,14,0,"Control"
"342",342,2020-08-26,0,"a.Female",42,"c.2yr",0,0,0,0,0,0,0,0,1,"Independent",0.34024795645459,"Pennsylvania",FALSE,"Exercising for even 10 minutes a day can improve health.",1406,TRUE,0.2825,20.5107333333333,2020-09-07,571,TRUE,3.5,2,2,2,1,3.5,0,0,1,2,1,3.5,0,0,2,3.5,0,0,0,0,0,0,0,0,3.5,2,0,0,0,0,"j.dontKnow","","d.noChange",4,5,3,5,4,1,4,-5,4,2,3,4,3,4,4,6,-5,-6,4,4,-6,-7,"5ed2f70cae98302901c31d4f",3.5,0,7,0,0,0,0,7,0,0,7,4,3.5,0,2,10.5,7,17.5,6.5,16.5,0.2665325511066,-0.656639797839895,0.55559934822095,FALSE,1,FALSE,"b.Neutral",3.4024795645459,TRUE,12,0,"Control"
"343",343,2020-08-26,1,"a.Female",59,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.612116590896012,"California",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1491,TRUE,0.549966666666667,20.9147,2020-09-07,670,TRUE,3.5,5,7,5,5.5,3.5,7,3.5,1,5,2,3.5,0,0,0,0,0,0,1,3.5,0,0,7,3.5,3.5,3.5,0,0,0,0,"j.dontKnow","","c.slightlyLess",4,4,5,5,3,1,2,-7,5,5,4,5,3,3,1,3,-7,-7,1,2,-7,-7,"5ed377271691ea000c548cb0",7,0,0,0,3.5,0,24.5,12.25,0,0,17.5,35,19.25,24.5,5,10.5,36.75,47.25,13.5,101.25,-0.278885218359312,-0.0980458831157753,-0.907756536814956,FALSE,1,FALSE,"c.Democrat",6.12116590896012,TRUE,12,0,"Documentary"
"344",344,2020-08-26,0,"a.Female",19,"b.HS",0,0,0,0,0,0,0,1,0,"Other/I don't know",0.610330936463023,"New Jersey",FALSE,"It is important to teach children good habits in terms of exercise.",1358,TRUE,0.211716666666667,20.63835,2020-09-07,325,TRUE,3.5,3.5,7,3.5,5.5,3.5,0,0,0,0,1,3.5,0,0,1,2,0,0,0,0,0,0,0,0,2,2,0,0,3.5,3.5,"c.fat","a.generalPatterns","d.noChange",3,3,3,2,2,2,2,-6,3,4,4,5,5,3,2,1,-6,-7,2,1,-7,-7,"5ed40dab8680192984d2aa98",3.5,0,2,0,0,0,0,4,0,12.25,12.25,24.5,19.25,0,0,5.5,4,9.5,4,56,-0.824302987825224,0.0416025955652547,-0.907756536814956,FALSE,1,TRUE,"b.Neutral",6.10330936463023,FALSE,12,0,"Control"
"345",345,2020-08-26,0,"a.Female",31,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.628667829676956,"Georgia",FALSE,"Exercising for even 10 minutes a day can improve health.",1391,TRUE,0.1557,20.6252833333333,2020-09-07,1025,TRUE,3.5,2,3.5,3.5,1,2,1,2,3.5,3.5,2,2,2,2,0,0,1,2,1,2,1,2,2,2,3.5,2,2,3.5,5.5,3.5,"i.beverages","c.decrease","d.noChange",4,4,4,1,1,2,1,-7,1,2,3,7,6,5,1,1,-7,-7,1,1,-7,-7,"5ed51685a9e75f05ff37aa17",4,4,0,2,2,2,4,7,7,19.25,7,12.25,2,2,12.25,14,11,25,12.5,35.5,-1.64242964202409,0.320899552927314,-1.20042771382214,FALSE,1,FALSE,"c.Democrat",6.28667829676956,FALSE,12,0,"Control"
"346",346,2020-08-26,0,"a.Female",22,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.535724520731836,"Virginia",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1401,TRUE,10.67725,11.4685666666667,2020-09-07,339,TRUE,14,3.5,14,3.5,3.5,3.5,3.5,3.5,2,2,1,2,0,0,1,3.5,3.5,2,0,0,0,0,0,0,5.5,2,3.5,3.5,0,0,"d.vegetables","a.generalPatterns","d.noChange",5,4,3,3,2,1,3,-7,5,2,5,7,7,6,1,1,-7,-7,2,1,-7,-7,"5ed7a9fbd8404c079eb7188a",2,0,3.5,7,0,0,0,11,12.25,0,49,49,12.25,12.25,4,12.5,11,23.5,11,126.5,-0.551594103092268,0.879493467651434,-1.10287065481974,FALSE,1,TRUE,"c.Democrat",5.35724520731836,TRUE,12,0,"Control"
"347",347,2020-08-26,1,"b.Male",23,"b.HS",0,0,0,1,0,0,0,0,0,"Independent",0.684695630315472,"Washington",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1388,TRUE,0.307116666666667,20.183,2020-09-07,508,TRUE,1,2,2,3.5,3.5,3.5,3.5,5,0,0,3.5,5,0,0,0,0,0,0,0,0,0,0,3.5,3.5,2,3.5,0,0,0,0,"a.totalCal","a.generalPatterns","d.noChange",3,4,2,4,3,2,2,-5,4,3,2,5,4,3,6,6,-3,-4,5,3,-4,-6,"5ed8b4b99d0c933cc72bee66",17.5,0,0,0,0,0,12.25,7,0,0,2,7,12.25,17.5,0,17.5,19.25,36.75,9,38.75,-0.142530775992834,-0.516991319158865,1.43361287924249,FALSE,0,TRUE,"b.Neutral",6.84695630315472,FALSE,12,0,"Documentary"
"348",348,2020-08-26,0,"b.Male",20,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.331101436409825,"Texas",FALSE,"Most Americans get less than the recommended amount of exercise.,It is important to teach children good habits in terms of exercise.,Exercising for even 10 minutes a day can improve health.",1304,TRUE,3.49651666666667,16.5946833333333,2020-09-07,354,TRUE,14,5,14,5,7,5,3.5,3.5,1,3.5,5.5,5,3.5,5,3.5,3.5,1,3.5,5.5,5,3.5,3.5,2,3.5,1,3.5,1,3.5,1,3.5,"a.totalCal","a.generalPatterns","d.noChange",5,5,4,3,2,2,2,-6,2,5,5,6,6,6,1,1,-7,-7,3,2,-6,-5,"5eda6c949bd93666972eead9",27.5,17.5,12.25,3.5,27.5,12.25,7,3.5,3.5,3.5,70,70,35,12.25,3.5,100.5,10.5,111,25.5,190.75,-0.824302987825224,1.01914194633246,-0.615085359807775,FALSE,0,TRUE,"c.Democrat",3.31101436409825,FALSE,12,0,"Control"
"349",349,2020-08-26,0,"a.Female",20,"b.HS",1,0,0,0,0,0,0,0,0,"Republican",0.514659600569698,"Florida",FALSE,"It is important to teach children good habits in terms of exercise.",1570,TRUE,0.424516666666667,20.7253333333333,2020-09-07,935,TRUE,1,2,2,2,2,2,1,2,0,0,2,2,0,0,0,0,1,2,1,3.5,0,0,5.5,3.5,0,0,5.5,5,14,5,"a.totalCal","a.generalPatterns","d.noChange",5,3,4,4,7,1,1,-7,2,1,1,6,2,5,4,1,-5,-7,1,4,-5,-7,"5edb15e94aaed578887b44ae",4,0,0,2,3.5,0,19.25,0,27.5,70,2,4,4,2,0,9.5,19.25,28.75,9.5,12,-0.41523966072579,-0.796288276520925,-0.2248571237982,FALSE,1,TRUE,"a.Republican",5.14659600569698,FALSE,12,0,"Control"
"350",350,2020-08-26,0,"a.Female",21,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.503752652968312,"Illinois",FALSE,"Most Americans get less than the recommended amount of exercise.",1502,TRUE,0.20025,21.5162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5edc137b1e6ee08dcb277ddd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,"b.Neutral",5.03752652968312,FALSE,NA,8,"Control"
"351",351,2020-08-26,1,"c.Other",21,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.462414043718902,"New York",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",2044,TRUE,9.3814,18.3969666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5edc54406e439f905691b623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"c.Democrat",4.62414043718902,FALSE,NA,8,"Documentary"
"352",352,2020-08-26,0,"a.Female",28,"d.4yr",0,0,1,0,0,0,0,0,0,"Independent",0.562654670596352,"Arkansas",FALSE,"Most Americans get less than the recommended amount of exercise.",1649,TRUE,0.155,21.5405833333333,2020-09-07,318,TRUE,2,3.5,2,3.5,3.5,3.5,5.5,3.5,1,2,2,3.5,1,3.5,0,0,0,0,1,3.5,0,0,3.5,3.5,1,2,2,3.5,2,3.5,"a.totalCal","a.generalPatterns","e.slightlyMore",4,4,5,6,3,2,5,-6,2,2,2,6,6,5,1,1,-7,-7,1,1,-7,-7,"5edd13e3858a15a07241964b",7,3.5,0,0,3.5,0,12.25,2,7,7,7,7,12.25,19.25,2,14,14.25,28.25,8.5,47.5,0.130178108740122,0.0416025955652547,-1.20042771382214,FALSE,1,FALSE,"b.Neutral",5.62654670596352,TRUE,12,0,"Control"
"353",353,2020-08-26,0,"a.Female",20,"b.HS",0,0,0,0,0,0,0,1,0,"Democrat",0.699132241158159,"California",FALSE,"Exercising for even 10 minutes a day can improve health.",1444,TRUE,15.8852166666667,5.4044,2020-09-07,490,TRUE,5.5,3.5,7,2,7,5,0,0,1,2,2,2,0,0,3.5,2,2,2,2,2,0,0,7,3.5,5.5,2,7,3.5,2,3.5,"a.totalCal","a.generalPatterns","d.noChange",3,2,2,5,1,1,1,-3,4,3,3,7,6,4,4,1,-6,-6,1,1,-7,-7,"5eddaaaeb2a4d6ab5be32a02",4,0,7,4,4,0,24.5,11,24.5,7,19.25,14,35,0,2,19,35.5,54.5,22,70.25,-0.278885218359312,0.320899552927314,-0.712642418810169,FALSE,1,TRUE,"c.Democrat",6.99132241158159,FALSE,12,0,"Control"
"354",354,2020-08-26,0,"a.Female",47,"d.4yr",1,0,0,0,0,0,0,0,0,"Independent",0.476758344393215,"Ohio",FALSE,"Most Americans get less than the recommended amount of exercise.",1354,TRUE,0.210566666666667,20.5601333333333,2020-09-07,353,TRUE,1,5,2,5,5.5,3.5,3.5,5,1,5,3.5,2,0,0,0,0,0,0,1,5,0,0,5.5,3.5,1,3.5,0,0,2,5,"j.dontKnow","","c.slightlyLess",3,5,2,1,1,1,1,-5,4,3,5,7,1,3,1,1,-7,-7,1,1,-7,-7,"5ede06165f5ead017ee49f05",7,0,0,0,5,0,19.25,3.5,0,10,5,10,19.25,17.5,5,12,22.75,34.75,11,56.75,-1.09701187255818,-0.237694361796805,-1.20042771382214,FALSE,1,FALSE,"b.Neutral",4.76758344393215,TRUE,12,0,"Control"
"355",355,2020-08-26,0,"b.Male",45,"d.4yr",1,0,0,0,0,0,0,0,0,"Republican",0.182030751789131,"Texas",FALSE,"It is important to teach children good habits in terms of exercise.",1683,TRUE,0.426216666666667,22.9825,2020-09-07,343,TRUE,7,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2,3.5,3.5,3.5,3.5,3.5,1,2,5.5,5,5.5,3.5,5.5,3.5,3.5,3.5,5.5,3.5,3.5,3.5,"g.meatAnimProd","a.generalPatterns","b.somewhatLess",4,4,4,5,4,5,5,-3,5,5,6,6,5,6,6,5,-6,-7,2,2,-5,-6,"5ede1b9de880a5035a41da35",7,12.25,12.25,2,27.5,19.25,19.25,12.25,19.25,12.25,24.5,12.25,12.25,12.25,12.25,80.25,31.5,111.75,30,73.5,1.35736809003842,1.01914194633246,0.262928171213768,FALSE,0,FALSE,"a.Republican",1.82030751789131,TRUE,12,0,"Control"
"356",356,2020-08-26,1,"a.Female",50,"c.2yr",1,0,0,0,0,0,0,0,0,"Republican",0.500354221948346,"Wisconsin",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1858,TRUE,0.837033333333333,23.7680666666667,2020-09-08,636,TRUE,2,5,3.5,3.5,2,3.5,0,0,1,2,0,0,0,0,0,0,0,0,1,3.5,1,3.5,1,3.5,2,3.5,2,3.5,0,0,"g.meatAnimProd","a.generalPatterns","d.noChange",3,3,6,4,3,5,4,-6,1,3,4,5,4,4,2,1,-7,-6,6,1,-5,-5,"5edf9f945600b52832384409",0,0,0,0,3.5,3.5,3.5,7,7,0,10,12.25,7,0,2,7,10.5,17.5,5,31.25,-0.00617633362635618,-0.0980458831157753,-0.127300064795806,FALSE,1,FALSE,"a.Republican",5.00354221948346,TRUE,13,0,"Documentary"
"357",357,2020-08-26,0,"b.Male",34,"b.HS",1,0,0,0,0,0,0,0,0,"Independent",0.341680899233427,"Washington",FALSE,"Most Americans get less than the recommended amount of exercise.",1343,TRUE,0.214066666666667,19.8625,2020-09-07,418,TRUE,1,3.5,1,2,3.5,3.5,3.5,5,3.5,3.5,5.5,5,2,5,2,3.5,3.5,3.5,2,2,1,2,14,5,1,2,1,2,7,5,"a.totalCal","a.generalPatterns","d.noChange",4,4,3,4,4,2,4,-7,3,1,1,1,1,1,1,1,-7,-3,4,5,-4,-3,"5ee0181df2aa853667686d9b",27.5,10,7,12.25,4,2,70,2,2,35,3.5,2,12.25,17.5,12.25,62.75,72,134.75,31,47.5,-0.142530775992834,-2.19277306333122,0.55559934822095,FALSE,0,FALSE,"b.Neutral",3.41680899233427,FALSE,12,0,"Control"
"358",358,2020-08-26,0,"b.Male",40,"e.post",1,0,0,0,0,0,0,0,0,"Democrat",0.859495892119603,"New York",FALSE,"It is important to teach children good habits in terms of exercise.",1787,TRUE,17.8588666666667,3.73208333333333,2020-09-07,613,TRUE,3.5,3.5,5.5,5,5.5,5,7,5,2,3.5,5.5,5,1,3.5,0,0,1,3.5,3.5,5,0,0,5.5,5,3.5,3.5,5.5,5,3.5,5,"c.fat","d.dontKnow","d.noChange",4,5,4,5,5,1,5,-6,3,5,6,6,4,6,5,3,-6,-6,3,3,-4,-5,"5ee0f5feec87fc0bc5eabdd7",27.5,3.5,0,3.5,17.5,0,27.5,12.25,27.5,17.5,12.25,27.5,27.5,35,7,52,39.75,91.75,20,109.25,0.2665325511066,0.879493467651434,0.458042289218556,FALSE,0,FALSE,"c.Democrat",8.59495892119603,TRUE,12,0,"Control"
"359",359,2020-08-26,1,"b.Male",36,"d.4yr",0,0,0,0,0,0,0,1,0,"Democrat",0.743617723184296,"Illinois",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1317,TRUE,0.318633333333333,20.74415,2020-09-07,380,TRUE,0,0,5.5,3.5,3.5,3.5,5.5,5,2,3.5,2,2,0,0,1,3.5,2,3.5,0,0,0,0,3.5,2,5.5,3.5,0,0,0,0,"g.meatAnimProd","a.generalPatterns","c.slightlyLess",4,3,3,2,1,1,2,-5,2,1,1,6,4,5,3,2,-6,-6,1,1,-7,-7,"5ee100c8ac33db0e30697284",4,0,3.5,7,0,0,7,19.25,0,0,0,19.25,12.25,27.5,7,14.5,26.25,40.75,14,66,-1.09701187255818,-0.516991319158865,-0.712642418810169,FALSE,0,FALSE,"c.Democrat",7.43617723184296,TRUE,12,0,"Documentary"
"360",360,2020-08-26,1,"b.Male",40,"e.post",1,0,0,0,0,0,0,0,0,"Republican",0.582501182831333,"Florida",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",2145,TRUE,20.3377666666667,1.74701666666667,2020-09-07,831,TRUE,3.5,3.5,3.5,3.5,5.5,3.5,5.5,3.5,3.5,3.5,2,2,1,2,5.5,3.5,0,0,2,2,1,3.5,2,3.5,3.5,3.5,2,3.5,3.5,3.5,"j.dontKnow","","b.somewhatLess",4,5,4,5,5,6,4,-5,6,5,6,6,5,7,6,6,-4,-4,5,3,-6,-7,"5ee1267e2a8a214f2680b7f4",4,2,19.25,0,4,3.5,7,12.25,7,12.25,12.25,12.25,19.25,19.25,12.25,32.75,19.25,52,17,75.25,1.35736809003842,1.15879042501349,1.04338464323292,FALSE,0,FALSE,"a.Republican",5.82501182831333,TRUE,12,0,"Documentary"
"361",361,2020-08-26,1,"a.Female",21,"d.4yr",0,0,0,0,0,0,0,1,0,"Democrat",0.579389452151684,"Pennsylvania",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",2468,TRUE,15.0332333333333,5.36905,2020-09-07,455,TRUE,3.5,5,3.5,5,3.5,3.5,3.5,3.5,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3.5,3.5,5.5,3.5,0,0,2,3.5,"a.totalCal","a.generalPatterns","b.somewhatLess",5,2,2,2,2,1,1,-7,5,2,1,6,2,1,3,2,-7,-5,3,2,-5,-7,"5ee1327109ae2e4f8e01bd60",10,0,0,0,0,0,12.25,19.25,0,7,17.5,17.5,12.25,12.25,0,10,31.5,41.5,11,59.5,-0.960657430191702,-1.21523371256401,-0.2248571237982,FALSE,1,TRUE,"c.Democrat",5.79389452151684,TRUE,12,0,"Documentary"
"362",362,2020-08-26,1,"b.Male",19,"b.HS",1,0,0,0,0,0,0,0,0,"Democrat",0.536088516823204,"California",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1296,TRUE,0.11885,20.8676,2020-09-07,310,TRUE,5.5,3.5,5.5,2,7,2,7,2,3.5,3.5,1,3.5,0,0,0,0,0,0,5.5,3.5,0,0,7,2,1,2,5.5,3.5,0,0,"g.meatAnimProd","a.generalPatterns","d.noChange",4,3,4,2,1,2,5,-5,3,5,5,7,5,3,1,1,-7,-7,2,1,-7,-7,"5ee1aff5d156f20008c98012",3.5,0,0,0,19.25,0,14,2,19.25,0,19.25,11,14,14,12.25,22.75,16,38.75,14.5,70.5,-0.41523966072579,0.600196510289374,-1.10287065481974,FALSE,0,TRUE,"c.Democrat",5.36088516823204,FALSE,12,0,"Documentary"
"363",363,2020-08-26,1,"a.Female",37,"c.2yr",1,0,0,0,0,0,0,0,0,"Independent",0.587125417061615,"Ohio",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1348,TRUE,0.133566666666667,20.8078833333333,2020-09-07,288,TRUE,3.5,2,3.5,3.5,2,2,3.5,3.5,2,3.5,5.5,5,2,2,0,0,2,2,5.5,3.5,2,2,3.5,3.5,5.5,3.5,3.5,3.5,3.5,5,"a.totalCal","a.generalPatterns","f.somewhatMore",4,5,5,4,4,3,4,-5,5,4,5,5,5,5,1,1,-1,-7,1,1,-7,-7,"5ee1ee9d2ef80a5e94ec29ef",27.5,4,0,4,19.25,4,12.25,19.25,12.25,17.5,7,12.25,4,12.25,7,58.75,31.5,90.25,26,42.5,0.539241435839556,0.460548031608344,-0.615085359807775,FALSE,1,FALSE,"b.Neutral",5.87125417061615,TRUE,12,0,"Documentary"
